word,n_morphemes,note,ratingcmp,zipf_freq,c1,c2
mailbags,2,mail+bags ratingcmp=87.4,87.375,1.38,mail,bags
carpetbags,2,carpet+bags ratingcmp=65.5,65.5,0.0,carpet,bags
windbags,2,wind+bags ratingcmp=46.6,46.615383,1.592864137808441,wind,bags
gasbags,2,gas+bags ratingcmp=52.8,52.799999,1.08,gas,bags
postbags,2,post+bags ratingcmp=60.7,60.700001,0.0,post,bags
beanbags,2,bean+bags ratingcmp=74.8,74.75,2.069985392528103,bean,bags
sandbags,2,sand+bags ratingcmp=89.5,89.518517,2.371015388192085,sand,bags
handbags,2,hand+bags ratingcmp=84.5,84.5,2.954591973826034,hand,bags
fleabags,2,flea+bags ratingcmp=53.4,53.416668,2.069985392528103,flea,bags
moneybags,2,money+bags ratingcmp=66.5,66.474998,2.437962177822698,money,bags
schoolbags,2,school+bags ratingcmp=92.0,91.958336,1.592864137808441,school,bags
whitebait,2,white+bait ratingcmp=36.4,36.400002,1.76,white,bait
crowbait,2,crow+bait ratingcmp=56.8,56.799999,0.0,crow,bait
hardbake,2,hard+bake ratingcmp=51.7,51.666668,0.0,hard,bake
clambake,2,clam+bake ratingcmp=60.6,60.599998,2.689774150816497,clam,bake
clambakes,2,clam+bakes ratingcmp=50.5,50.46154,1.893894133472422,clam,bakes
beachball,2,beach+ball ratingcmp=93.6,93.629631,1.4,beach,ball
groundball,2,ground+ball ratingcmp=71.7,71.681816,1.51,ground,ball
hardball,2,hard+ball ratingcmp=65.8,65.821426,3.024227901967429,hard,ball
butterball,2,butter+ball ratingcmp=61.3,61.333332,2.547106647247766,butter,ball
goofball,2,goof+ball ratingcmp=55.7,55.729168,2.754232140043416,goof,ball
baseball,2,base+ball ratingcmp=63.4,63.447369,4.402087059497862,base,ball
basketball,2,basket+ball ratingcmp=66.6,66.567566,4.330056780513178,basket,ball
racquetball,2,racquet+ball ratingcmp=81.1,81.14286,3.091174691598042,racquet,ball
stickball,2,stick+ball ratingcmp=64.9,64.85714,2.437962177822698,stick,ball
handball,2,hand+ball ratingcmp=77.7,77.710526,2.754232140043416,hand,ball
eyeball,2,eye+ball ratingcmp=82.4,82.409088,3.269557747433308,eye,ball
pinball,2,pin+ball ratingcmp=65.2,65.23333,3.189461233434901,pin,ball
hairball,2,hair+ball ratingcmp=94.7,94.653847,2.783195835978733,hair,ball
earthball,2,earth+ball ratingcmp=47.0,47.033333,0.0,earth,ball
knuckleball,2,knuckle+ball ratingcmp=62.3,62.258064,1.768955396864122,knuckle,ball
mothball,2,moth+ball ratingcmp=44.5,44.53846,2.069985392528103,moth,ball
fireball,2,fire+ball ratingcmp=79.0,79.027023,3.178324867316942,fire,ball
spitball,2,spit+ball ratingcmp=79.7,79.708336,2.437962177822698,spit,ball
greaseball,2,grease+ball ratingcmp=57.5,57.535713,2.634256822966666,grease,ball
fastball,2,fast+ball ratingcmp=85.5,85.5,3.069985392528104,fast,ball
football,2,foot+ball ratingcmp=50.6,50.599998,4.574002920449102,foot,ball
sourball,2,sour+ball ratingcmp=61.1,61.119999,2.069985392528103,sour,ball
netball,2,net+ball ratingcmp=72.5,72.454544,1.893894133472422,net,ball
oddball,2,odd+ball ratingcmp=34.4,34.424999,2.835902186494736,odd,ball
punchball,2,punch+ball ratingcmp=58.0,58.0,0.0,punch,ball
volleyball,2,volley+ball ratingcmp=77.0,76.964287,3.062686153786604,volley,ball
puffball,2,puff+ball ratingcmp=75.2,75.25,1.990804146480479,puff,ball
tetherball,2,tether+ball ratingcmp=69.5,69.535713,2.29183414214446,tether,ball
brandyball,2,brandy+ball ratingcmp=33.2,33.166668,0.0,brandy,ball
beanball,2,bean+ball ratingcmp=57.9,57.900002,0.0,bean,ball
meatball,2,meat+ball ratingcmp=81.1,81.108109,3.415685783111546,meat,ball
paintball,2,paint+ball ratingcmp=90.0,89.964287,2.882898749170959,paint,ball
pushball,2,push+ball ratingcmp=62.9,62.916668,0.0,push,ball
cannonball,2,cannon+ball ratingcmp=76.8,76.769234,3.161065861875436,cannon,ball
highball,2,high+ball ratingcmp=38.7,38.727272,2.835902186494736,high,ball
screwball,2,screw+ball ratingcmp=44.8,44.80645,3.055262135707397,screw,ball
blowball,2,blow+ball ratingcmp=40.8,40.833332,0.0,blow,ball
trackball,2,track+ball ratingcmp=63.8,63.774193,1.97,track,ball
snowball,2,snow+ball ratingcmp=93.4,93.384613,3.149166638575728,snow,ball
blackball,2,black+ball ratingcmp=50.0,49.972973,2.246076651583785,black,ball
softball,2,soft+ball ratingcmp=60.2,60.205128,3.356292131371378,soft,ball
basketballs,2,basket+balls ratingcmp=70.1,70.115387,2.547106647247766,basket,balls
footballs,2,foot+balls ratingcmp=63.3,63.333332,2.371015388192085,foot,balls
highballs,2,high+balls ratingcmp=43.8,43.772728,2.246076651583785,high,balls
baseballs,2,base+balls ratingcmp=61.2,61.166668,2.783195835978733,base,balls
butterballs,2,butter+balls ratingcmp=67.3,67.285713,2.333226827302685,butter,balls
softballs,2,soft+balls ratingcmp=61.6,61.560001,1.592864137808441,soft,balls
fastballs,2,fast+balls ratingcmp=85.2,85.214287,1.893894133472422,fast,balls
meatballs,2,meat+balls ratingcmp=91.7,91.666664,3.356292131371378,meat,balls
screwballs,2,screw+balls ratingcmp=51.0,50.958332,2.194924129136403,screw,balls
handballs,2,hand+balls ratingcmp=65.8,65.807693,1.68,hand,balls
puffballs,2,puff+balls ratingcmp=74.2,74.25,1.58,puff,balls
spitballs,2,spit+balls ratingcmp=74.7,74.68,2.194924129136403,spit,balls
cannonballs,2,cannon+balls ratingcmp=89.3,89.333336,2.29183414214446,cannon,balls
oddballs,2,odd+balls ratingcmp=43.3,43.32,2.069985392528103,odd,balls
racquetballs,2,racquet+balls ratingcmp=81.0,81.045456,0.0,racquet,balls
eyeballs,2,eye+balls ratingcmp=86.7,86.689651,3.467925401200141,eye,balls
fireballs,2,fire+balls ratingcmp=83.2,83.181816,2.614053436878379,fire,balls
mothballs,2,moth+balls ratingcmp=52.5,52.545456,2.835902186494736,moth,balls
trackballs,2,track+balls ratingcmp=55.8,55.774193,1.2,track,balls
blackballs,2,black+balls ratingcmp=61.1,61.142857,1.592864137808441,black,balls
snowballs,2,snow+balls ratingcmp=93.1,93.125,2.570587743097289,snow,balls
hairballs,2,hair+balls ratingcmp=79.3,79.32,2.136932182158717,hair,balls
volleyballs,2,volley+balls ratingcmp=75.4,75.391304,1.41,volley,balls
beebalm,2,bee+balm ratingcmp=43.5,43.53846,0.0,bee,balm
neckband,2,neck+band ratingcmp=72.3,72.289474,1.592864137808441,neck,band
noseband,2,nose+band ratingcmp=57.2,57.1875,1.36,nose,band
waistband,2,waist+band ratingcmp=69.1,69.054054,2.333226827302685,waist,band
armband,2,arm+band ratingcmp=75.5,75.485718,2.467925401200141,arm,band
sweatband,2,sweat+band ratingcmp=64.3,64.272728,1.990804146480479,sweat,band
headband,2,head+band ratingcmp=79.6,79.605263,2.634256822966666,head,band
backband,2,back+band ratingcmp=44.2,44.25,0.0,back,band
bellyband,2,belly+band ratingcmp=47.8,47.75,1.768955396864122,belly,band
trainband,2,train+band ratingcmp=44.1,44.090908,0.0,train,band
hatband,2,hat+band ratingcmp=43.4,43.37838,1.592864137808441,hat,band
ribband,2,rib+band ratingcmp=34.1,34.129032,1.09,rib,band
waveband,2,wave+band ratingcmp=46.5,46.5,1.46,wave,band
watchband,2,watch+band ratingcmp=63.6,63.625,2.194924129136403,watch,band
wristband,2,wrist+band ratingcmp=78.8,78.75,2.29183414214446,wrist,band
watchbands,2,watch+bands ratingcmp=67.6,67.615387,1.592864137808441,watch,bands
armbands,2,arm+bands ratingcmp=84.9,84.928574,2.246076651583785,arm,bands
hatbands,2,hat+bands ratingcmp=51.8,51.833332,0.0,hat,bands
